"","SAI","Policy_num","Prime","Competitor","Program","mstr_agt_cd","pri_agt_cd","sub_agt_cd","insured_zip_cd"
"31989","4511X4213","9H939713","HIGH DESERT AGENCIES LLC","Hanover","BUS PAC BEAUTY SHOPS","CBG32","DBR01","DBR01","81003"
"31990","4542X6213","9H939922","NORTHWEST INS GROUP INC","Hartford","PET SITTERS","CLT17","CLY89","CLY89","98126"
"31991","4556X3213","9H940078","LOUDOUN INSURANCE GROUP","Unknown","PET SITTERS","EJ330","CKM67","CKM67","22207"
"31992","4551X0213","9H940091","INS OFFICE OF AMERICA","Hartford","BLDG PAC MFG PROCESSING","VJ001","DCN86","DCN86","80528"
"31993","4641XA213","9H941339","PIA GENERAL INSURANCE","Allied","RESTAURANT ALL OTHER - FAST FO","CHN63","CPX48","CPX48","98499"
"31994","4611X2213","9H941388","ELITE INS GROUP AGCY LLC","Other","STORE PAC GROCERY STORE (UP TO","CJX34","CJX34","CJX34","55118"
"31995","4653X8213","9H941481","PACIFIC HIGHWAY AGENCY","Other","STORE PAC GROCERY STORE (UP TO","DGB83","DGB83","DGB83","98391"
"31996","4657X6213","9H941585","HILL & USHER","Hartford","CONSULTANTS - MANAGEMENT","FX671","FX671","FX671","94110"
"31997","4681X6213","9H941850","GEORGE\LARRY N\AGY INC","Erie","OFC PAC CHIROPRACTORS","CGX77","CGX77","CGX77","15201"
"31998","4696X8213","9H942011","GEORGE\LARRY N\AGY INC","Erie","OFC PAC CHIROPRACTORS","CGX77","CGX77","CGX77","15084"
"31999","4700X7213","9H942035","BOYETTE INS AGCY-FENG","Hartford","BLDG PAC OFC PRIMARY","CNF84","CQF77","CQF77","23059"
"32000","4732X3213","9H942336","WORTHAM AUSTIN INC","Chubb","BLDG PAC MERCANTILE SHOP CENTE","17407","17407","17407","78703"
"32002","4738X0213","9H942428","WORTHAM AUSTIN INC","Chubb","BLDG PAC MERCANTILE SHOP CENTE","17407","17407","17407","78703"
"32004","4901X8213","9H945062","REMER LANE INSURANCE INC","Guard Insurance (Berkshire Hathaway)","RESTAURANT OTHER ETHIC CUISINE","CM703","CM703","CM703","31419"
"32007","4995X8213","9H946581","MGM ASSOCS OF ROCHESTER","Other","EDUCATIONS AND SCHOOL SUPPLIES","VE046","VE046","VE046","14608"
"32008","5096X5213","9H947878","BYARS-WRIGHT INC","Auto Owners","STORE PAC GROCERY STORE (UP TO","HE565","HE565","HE565","35071"
"32009","5146X8213","9H948421","MID-VALLEY AGENCY INC","Liberty","STORE PAC GROCERY STORE (UP TO","CXL12","CXL12","CXL12","48633"
"32011","5148X7213","9H948549","COMMERCIAL INS AGCY INC","Other","RESTAURANT ALL OTHER - FAMILY","G6335","G6335","G6335","1890"
"32012","5166X6213","9H948734","SAHOURI INSURANCE AGENCY","Erie","COMPUTER CONSULTANTS","WJ312","WJ312","WJ312","95051"
"32013","5274x4213","9H949823","TURNER WOOD & SMITH","Auto Owners","APART PAC BLDG 1-4 UNITS","FU086","SV249","SV249","31061"
"32014","5256x5213","9H95027A","SCOTT\CLYDE C\INS AGCY","FCCI","BLDG PAC MERCANTILE SHOP CENTE","CBQ33","G0052","G0052","39071"
"32015","5287x7213","9H950293","ROGERS INSURANCE AGENCY","Allied","COFFEE BARS","BBZ39","X2477","X2477","27701"
"32017","5291X9213","9H950477","PROF SOLUTIONS INS","Liberty","OFC PAC DENTISTS","CJG37","CJG42","CJG42","49201"
"32019","5293x8213","9H950914","MARSH & MCLENNAN AGENCY","CNA","RESTAURANT ORIENTAL-FAMILY STY","FC387","XW379","XW379","30241"
"32020","5353XA213","9H951197","ASSUREDPARTNERS OF NE PA","Liberty","RESTAURANT PIZZA-FAMILY STYLE","DFR47","HE639","HE639","18657"
"32021","5433XA213","9H952249","BROWN & BROWN-FT COLLINS","Other","BLDG PAC MERCANTILE OTHER","G1064","G1064","G1064","80524"
"32022","5337XA213","9H952815","BERKLEY RISK SVCS OF CO","Hanover","OFC PAC DENTISTS","VW006","VW006","VW006","84660"
"32023","3692X3213","9H952944","KB CANYON STATE INSURANC","Hartford","RESTAURANT ORIENTAL TAKE-OUT","CXT04","CXT04","CXT04","85283"
"32025","5503X0213","9H953480","VAN FOSSAN INS AGENCY","Other","CONDO PAC BLDG 1-4 UNITS","27862","27862","27862","60098"
"32026","5170X8213","9H953732","GRIFFIN-OWENS INS SPCLST","Unknown","CON PAC CARPET/FLOOR INSTALLAT","DHN22","DKS50","DKS50","20112"
"32027","6995Y3134","9H954753","IPA RISK MGMT LLC","Guard Insurance (Berkshire Hathaway)","RESTAURANT MEXICAN TAKE-OUT","CBH88","CBH88","CBH88","8332"
"32028","5626X0213","9H954950","ELLERBROCK-NORRIS AGENCY","Other","JANITORIAL SERVICES","HE308","HE308","HE308","68901"
"32029","5611X9213","9H955043","ONEGROUP NY INC","Hartford","BLDG PAC MERCANTILE OTHER","FA732","FA732","FA732","13901"
"32031","5400X9213","9H955203","BB&T-THE ADDIS GROUP","Chubb","BLDG PAC OFC PRIMARY","DJG86","XV034","XV034","19112"
"32032","5661X4213","9H955448","CORDELL & CO INS AGENCY","Allied","GARAGE PAC TRANSMISSION REPAIR","CDZ04","CDZ04","CDZ04","76117"
"32033","3676d0182","9H955497","TURNER WOOD & SMITH","Hartford","STORE PAC FOOD AND DRINKS DELI","FU086","SV249","SV249","30542"
"32036","5617X6213","9H955590","ADVANCE INS CONSULTANTS","Other","BUS PAC BEAUTY SHOPS","CJS75","CJS75","CJS75","60441"
"32037","5716xa213","9H956224","SUMMERS THOMPSON LOWRY","Hanover","OFC PAC PHYS AND SURG & OSTEOP","FL774","VM437","VM437","28204"
"32038","5710X2213","9H956297","AMERIFIRST INS AGENCY","Allied","OFC PAC REAL ESTATE AGENCIES-C","CRM94","CRM94","CRM94","78664"
"32039","5757x0213","9H956678","GA AGENTS INS NETWORK","Hartford","ANTIQUE STORES","TE653","TE653","TE653","30415"
"32041","5749X0213","9H95676A","ICA AGENCY ALLIANCE","Liberty","BLDG PAC MFG PROCESSING","CBG32","CBG32","CBG32","98335"
"32042","5752X8213","9H956802","DAWSON-TAYLOR & CO","Cincinnati","OFC PAC VETERINARIANS","EY430","EY430","EY430","30809"
"32043","5850X7213","9H958186","RIGHTWAY INS LLC","Liberty","BLDG PAC MERCANTILE OTHER","DLB24","X4208","X4208","85020"
"32044","5829X0213","9H958266","SOO HOO\RICHARD\INSURANC","Other","RESTAURANT ORIENTAL-FAMILY STY","CTK20","CTK20","CTK20","1930"
"32045","5874X3213","9H958322","JACK L BONUS INS INC","MMG","CON PAC PLUMBING","FR314","XL579","XL579","15227"
"32046","5877X7213","9H958371","INSURANCE SYSTEMS","Erie","CON PAC CARPENTRY-INTERIOR","XL762","HE600","HE600","25701"
"32047","5889X5213","9H958659","CARVER AND ASSOCIATES","Auto Owners","CON PAC LANDSCAPE GARDENING","FX220","FX220","FX220","80401"
"32049","6029j6213","9H958684","EASTERN INS GROUP LLC","Other","CONDO PAC BLDG 13-24 UNITS","HU931","SV289","SV289","2119"
"32050","5879X6213","9H958807","DEARBORN AGENCY INC","Auto Owners","CON PAC HEATING-COMBINE HVAC","HF514","HF514","HF514","48184"
"32051","5879X6213","9H958807","DEARBORN AGENCY INC","Other","CON PAC HEATING-COMBINE HVAC","HF514","HF514","HF514","48184"
"32053","5904X8213","9H95895A","INTEGRATED INS SOLUTIONS","Hartford","STORE PAC PHOTOGRAPHY - PORTRA","CDZ23","X1636","X1636","30189"
"32054","6401ea211","9H958997","JNL INS BROKERAGE CORP","Guard Insurance (Berkshire Hathaway)","STORE PAC SPORTING GOODS,BAIT","CXQ63","CXQ63","CXQ63","7430"
"32055","5929x9213","9H95916A","EXECUTIVE INS AGENCY","Hartford","STORE PAC FURN APPL ACC FURN S","CNZ67","CNZ67","CNZ67","75001"
"32056","5948X2213","9H95940A","SAFEGUARD INSURANCE LLC","Allied","BUS PAC NAIL SALONS","XG032","RR956","RR956","89123"
"32057","5960X4213","9H959736","INTEGRATED INS SOLUTIONS","Hartford","STORE PAC ELECTRICAL SUPPLIES","CDZ23","X1636","X1636","30022"
"32059","5967x6213","9H959841","CRADDOCK INS SERVICES","Other","CON PAC ELEC-WIRING WITHIN BLD","CHZ53","CHZ67","CHZ67","30504"
"32061","5962x3213","9H960077","SCARBROUGH MEDLIN & ASSC","Other","COMMERCIAL CONDOMINIUM - OFFIC","VL602","VL602","VL602","76137"
"32062","5990x1213","9H960169","NORTHERN INSURING AGENCY","Other","RESTAURANT ALL OTHER - FAST FO","VE438","VE438","VE438","12912"
"32063","6025x3213","9H960784","GREENHILL INSURANCE","Hartford","BUS PAC NAIL SALONS","XF958","CFS50","CFS50","75702"
"32064","6026X8213","9H960864","USI INS SERVICES LLC","Liberty","CON PAC CONCRETE CONSTRUCTION","92339","DGV52","DGV52","82007"
"32066","6023x4213","9H960888","OFFENHAUSER & COMPANY","Other","BLDG PAC OFC PRIMARY","EJ747","EJ747","EJ747","75503"
"32067","6033x3213","9H961050","PERRY INSURANCE AGCY INC","Auto Owners","CON PAC EXCAVATION","WY380","CMH34","CMH34","84032"
"32068","6090X4213","9H961781","MID ATLANTIC INS SERVS","Guard","RESTAURANT ALL OTHER - FAMILY","EJ330","X1363","X1363","37865"
"32069","6113X3213","9H962034","CATE-RUSSELL INSURANCE","Other","BLDG PAC OFC PRIMARY","WP149","WP149","WP149","37701"
"32070","6116X7213","9H962102","KRAMER INSURANCE CENTER","Hartford","BUS PAC DAY SPA","FR314","CLH42","CLH42","19007"
"32071","6129XA213","9H962175","INTEGRATED INS SOLUTIONS","Hartford","CONSULTANTS - ALL OTHER","CDZ23","X1636","X1636","30005"
"32072","6127x0213","9H962279","PERRY INSURANCE AGCY INC","Auto Owners","STORE PAC BICYCLE STORES","WY380","CMH34","CMH34","84039"
"32073","6153XA213","9H962488","BISHOP CANNON AND STACY","Other","APART PAC BLDG 5-12 UNITS","CRS43","CRS43","CRS43","20852"
"32074","6163X9213","9H96257A","INTEGRATED INS SOLUTIONS","Hartford","CONSULTANTS - MANAGEMENT","CDZ23","X1636","X1636","30019"
"32076","6161XA213","9H962777","LOCKTON COMPANIES LLC","Hartford","OFC PAC LAWYERS","PL363","X4334","X4334","75001"
"32077","6173X8213","9H962790","MCKINNEY & CO","Auto Owners","STORE PAC GROCERY STORE (UP TO","HG517","HG517","HG517","36264"
"32078","6181x8213","9H962869","INSURANCE PROVIDERS","Auto Owners","RESTAURANT PIZZA-FAST FOOD","TJ624","CPZ37","CPZ37","48195"
"32079","6187x5213","9H963080","PERRY INSURANCE AGCY INC","Auto Owners","CON PAC DRIVEWAY,SIDEWALK,PARK","WY380","CMH34","CMH34","80933"
"32080","6054C4168","9H963111","DAVIS-DYER-MAX INC","Other","GARAGE PAC BODY REPAIR AND COL","PY097","EY300","EY300","75057"
"32081","6188XA213","9H963184","CARTER\JUDY\& ASSOCIATES","Other","BLDG PAC OFC PRIMARY","TH137","CKR58","CKR58","35213"
"32082","6210X8213","9H963368","INTEGRATED INS SOLUTIONS","Hartford","OFC PAC INS AGENTS","CDZ23","X1636","X1636","30097"
"32083","6217XA213","9H963762","VANACORE INS GROUP LLC","Hartford","RESTAURANT PIZZA-FAMILY STYLE","EJ854","WF038","WF038","6405"
"32084","6258X0213","9H96396A","INS SOLUTIONS GROUP LLC","Other","BLDG PAC MERCANTILE OTHER","HE771","CXS73","CXS73","98103"
"32085","6293X4213","9H964470","ANDRADE\J\INS AGCY INC","Liberty","CON PAC PLUMBING","1994","1994","1994","2723"
"32088","6378X7213","9H965792","MAIN STREET INS AGENCY","Other","CON PAC CARPENTRY-INTERIOR","F7596","F7596","F7596","84790"
"32091","6459X1213","9H966764","ROBERTSON RYAN ASSOC","Other","CONDO PAC BLDG 13-24 UNITS","75647","75647","75647","53132"
"32093","6496x4213","9H967681","MARSH & MCLENNAN AGENCY","Hartford","OFC PAC REAL ESTATE AGENCIES-C","FC387","HE520","HE520","36801"
"32094","6530X0213","9H967712","RICHIED & ASSOCIATES INC","Other","BLDG PAC MERCANTILE OTHER","WG868","CTS73","CTS73","89141"
"32097","6525X4213","9H968548","POINTENORTH INS GRP LLC","Other","DISC JOCKEYS, MUSICIANS","EY308","EY308","EY308","30009"
"32098","6596x2213","9H969103","TAG-THE AHBE GROUP","Other","RESTAURANT STEAK BARBECUE-FAMI","GY162","GY162","GY162","80631"
"32099","6698XA213","9H97057A","A L INSURANCE SERVICES","Liberty","BLDG PAC OFC PRIMARY","XG032","RR773","RR773","98370"
"32100","1425V9213","9H970685","USI INS SERVICES LLC","Other","CONDO PAC BLDG 13-24 UNITS","HH029","CMM51","CMM51","7054"
"32101","6748X2213","9H971196","GILLMAN INSURANCE INC","Hartford","COMPUTER CONSULTANTS","CFF73","CFF73","CFF73","30062"
"32103","6768X0213","9H971227","ANCO INS OF BRYAN","Hartford","BUS PAC BARBER SHOPS","CF012","CF012","CF012","77840"
"32104","6790X1213","9H971473","L&D INSURANCE SERVICES","Utica","RESTAURANT ORIENTAL-FAMILY STY","CRK22","CRK22","CRK22","8043"
"32105","7101N2196","9H971608","INDEPENDENT INS ADVISORS","Guard Insurance (Berkshire Hathaway)","BLDG PAC OFC PRIMARY","F9035","EK791","EK791","19422"
"32107","6814X5213","9H971749","CAMERON & ROBERTS INS","Hanover","BLDG PAC MERCANTILE OTHER","PJ334","XW641","XW641","30037"
"32108","6834X3213","9H972052","ORGILL-SINGER & ASSOC","Hartford","OFC PAC ACTG BKNG FIRMS","TM972","TM972","TM972","89140"
"32109","6808X4213","9H972120","COMMERCIAL INS SERVICES","GuideOne","RELIGIOUS PAC-OWNER OCCUPIED","XL762","XL762","XL762","25601"
"32110","6816X4213","9H972248","MARKHAM GROUP INC","Hanover","OFC PAC VETERINARIANS","TW555","X1118","X1118","1720"
"32111","6828X2213","9H972457","MCKINNEY & CO","Ohio Casualty (Liberty Company)","STORE PAC CONVENIENCE STORE W","HG517","HG517","HG517","30624"
"32112","6865X5213","9H972513","CAMERON & ROBERTS INS","Other","CON PAC PAINTING - EXTERIOR","PJ334","XW641","XW641","30252"
"32113","6841X9213","9H972574","DONAGHUE\DAVID\INS AGCY","Other","STORE PAC DISCOUNT STORES","22357","VA170","VA170","2150"
"32115","6892X9213","9H972887","OMNI FINANCIAL CORP","Hartford","RESTAURANT ALL OTHER - FAST FO","G6278","G6278","G6278","8816"
"32116","6903XA213","9H973048","DORSEY INS GROUP INC","Cincinnati","BLDG PAC GAS STATIONS - LESSOR","HR489","CSW61","CSW61","25311"
"32117","6845x7213","9H973061","MOREA AGENCY","Other","STORE PAC FRUITS AND VEGTABLES","HK823","HK823","HK823","10461"
"32118","6129W7213","9H973085","MARSH & MCLENNAN AGENCY","Auto Owners","OFC PAC LAWYERS","FC387","X0807","X0807","35630"
"32119","6906X3213","9H973128","ION INSURANCE CORP","Hartford","OFC PAC PET GROOMERS","VY581","HG578","HG578","6787"
"32120","6850X3213","9H97348A","MOSELEY INSURANCE","Hartford","OFC PAC LAWYERS","HP749","HP749","HP749","75751"
"32122","6943X6213","9H973675","JAVIER PONCE DE LEON INS","Other","RESTAURANT ALL OTHER - FAMILY","DJY63","DJY63","DJY63","84401"
"32124","6960X0213","9H973896","PROVIDENT FINANCIAL GRP","CNA","CON PAC PAINT- INTERIOR & PAPE","WH865","CQM79","CQM79","30102"
"32125","6945x5213","9H973915","VGW INSURANCE LLP","Liberty","BUS PAC DRYCLEANERS  PLANT ON","CCV10","X4325","X4325","75150"
"32126","6742X5213","9H973976","TOWNE-INVINCIA INSURANCE","Selective","RESTAURANT STEAK BARBECUE-FAMI","HG158","G4430","G4430","23065"
"32127","6957X3213","9H973988","KINCEL & COMPANY LTD","Selective","OFC PAC PSYCHOLOGISTS","FM091","FM091","FM091","18428"
"32128","6965X3213","9H974008","ACHS INSURANCE","Hanover","OFC PAC PSYCHOLOGISTS","CTN30","XV147","XV147","30907"
"32129","7000X9213","9H974402","ACHS INSURANCE","Auto Owners","GARAGE PAC TRANSMISSION REPAIR","CTN30","XV147","XV147","30904"
"32130","7038X2213","9H975030","ACHS INSURANCE","Hanover","BLDG PAC OFC PRIMARY","CTN30","XV147","XV147","30901"
"32131","7044X3213","9H975134","PROTECTIVE INS AGCY INC","Other","BLDG PAC OFC PRIMARY","HM474","HM474","HM474","84319"
"32134","7041XA213","9H975331","HABERMAN INS GROUP INC","Guard Insurance (Berkshire Hathaway)","BUS PAC BEAUTY SHOPS","CXX67","HF403","HF403","1040"
"32135","7043X9213","9H97540A","CAPITAL FINANCIAL P & C","Allstate","OFC PAC PSYCHOLOGISTS","EJ330","CMC59","CMC59","23228"
"32139","7072X1213","9H975576","REDUCEMYINSURANCE NET","Other","BLDG PAC MERCANTILE OTHER","VJ933","DFP64","DFP64","37133"
"32140","7076xa213","9H975588","KOVALEV INSURANCE AGENCY","Other","CONDO PAC BLDG 1-4 UNITS","CTN09","CTN09","CTN09","2494"
"32141","7110X6213","9H976247","LANDMARK AGENCY INC","Other","STORE PAC CONVENIENCE STORE W","XF706","X3069","X3069","30331"
"32142","7136X1213","9H976444","SEATTLE BEST INSURANCE","Hartford","RESTAURANT ORIENTAL TAKE-OUT","CYR67","CYR67","CYR67","98043"
"32143","7064x1213","9H97671A","GREENHILL INSURANCE","Liberty","RESTAURANT ALL OTHER - FAST FO","XF958","CFS50","CFS50","75146"
"32144","7167X3213","9H977035","SUNBELT INSURANCE GROUP","Liberty","OFC PAC EMPLOYMENT AGENCIES (E","G3560","G3560","G3560","37421"
"32145","7176X8213","9H977047","NCMIC INSURANCE SERVICES","Hartford","OFC PAC CHIROPRACTORS","CJG37","CJG37","CJG37","94619"
"32146","7194X7213","9H977219","NFP PROPERTY & CASUALTY","Liberty","BUILDING LRO-FOR RELIGIOUS USE","CGR28","WX814","WX814","85621"
"32148","7211X9213","9H977453","TAG-THE AHBE GROUP","Other","BUS PAC BEAUTY SHOPS","GY162","GY162","GY162","80538"
"32149","7218X0213","9H977477","LEGACY ONE INSURANCE","Other","GARAGE PAC BODY REPAIR AND COL","VX266","CSY63","CSY63","85034"
"32150","7222X2213","9H977613","SOUTHWEST BONDING & INS","Hartford","STORE PAC GIFTS","VE161","VE161","VE161","86001"
"32151","7235X5213","9H977754","YEAGER INS & FIN SCVS LL","Hartford","CON PAC PAINT- INTERIOR & PAPE","DDV70","DDV70","DDV70","25177"
"32152","7270X9213","9H978357","MT STATE AGCY ALLIANCE","Erie","OFC PAC MED SPA","HU396","X4344","X4344","25560"
"32153","7298X3213","9H978787","GLENDALE INSURANCE LLC","Cincinnati","GARAGE PAC GENERAL REPAIRS WIT","VH028","VH028","VH028","85308"
"32154","7304x1213","9H978879","FARLEY AGENCY INC\THE","Hartford","STORE PAC CONVENIENCE STORE W","TY085","TY085","TY085","31904"
"32155","7379X8213","9H980003","TAG-THE AHBE GROUP","Liberty","RESTAURANT ORIENTAL-FAMILY STY","GY162","GY162","GY162","80011"
"32157","7410X0213","9H980273","OXFORD INSURANCE AGENCY","State Auto","BLDG PAC OFC PRIMARY","XH371","XH371","XH371","38655"
"32158","7409X2213","9H980433","DAVID AGENCY INS INC\THE","Hartford","BLDG PAC MERCANTILE OTHER","HV501","HV501","HV501","60305"
"32160","7404XA213","9H980678","HERITAGE INSURANCE INC","Liberty","CONSULTANTS - MANAGEMENT","CNC01","CNC01","CNC01","85044"
"32161","7437X0213","9H980746","NORTHEAST INS SERVICE","Other","BLDG PAC OFC PRIMARY","HM174","HM174","HM174","7726"
"32162","7423X3213","9H980955","THEWAY INSURANCE SERVICE","Hartford","RESTAURANT ALL OTHER - FAMILY","JY256","CMV73","CMV73","20002"
"32164","6123F9213","9H981048","DESERT MOUNTAIN INS SVCS","Hartford","OFC PAC MED SPA","TH887","CNQ55","CNQ55","92630"
"32165","7484X2213","9H981282","TOTAL INS SRVCS INC","Hanover","APART PAC BLDG 5-12 UNITS","RK215","RK215","RK215","49128"
"32169","7467X8213","9H981430","KEITH BALSIGER AGCY INC","Allied","APART PAC BLDG 5-12 UNITS","CYR39","CYR39","CYR39","83501"
"32170","7488X0213","9H981558","DC INSURERS-MOUNTAIN","State Auto","RESIDL/COMML CONDO - MIXED","CJF72","XM003","XM003","81611"
"32171","7510X9213","9H981595","Y W KIM INC","Hartford","BUS PAC DAY SPA","CKH04","CXJ76","CXJ76","89119"
"32172","7501X4213","9H981638","DAY LARSEN PEDERSEN INS","Hanover","BLDG PAC MERCANTILE OTHER","DFN73","CJC11","CJC11","80123"
"32173","4717P4213","9H981847","HORIZON INSURANCE AGENCY","Hartford","OFC PAC ACTG BKNG FIRMS","CQD19","CQD19","CQD19","98387"
"32174","7534X5213","9H981915","PREMIER GROUP INS INC","Guard Insurance (Berkshire Hathaway)","BUS PAC NAIL SALONS","XG646","CZD91","CZD91","80202"
"32176","7547x8213","9H982082","TWFG INS SERVICES INC","Hartford","BUS PAC BEAUTY SHOPS","CCW16","CFX09","CFX09","75237"
"32177","7555X8213","9H982162","BELLTOWN INS GROUP INC","Liberty","BLDG PAC OFC PRIMARY","WM400","CKH63","CKH63","92116"
"32178","7419X1213","9H982309","INS PROFESSIONALS OF TN","Other","CON PAC HEATING-COMBINE HVAC","CGC74","CGC74","CGC74","40823"
"32179","7419X1213","9H982309","INS PROFESSIONALS OF TN","Other","CON PAC HEATING-COMBINE HVAC","CGC74","CGC74","CGC74","40823"
"32180","7590X1213","9H982684","A I AGCY OF COLORADO INC","Other","CONDO PAC BLDG 5-12 UNITS","CBG32","DHB61","DHB61","81658"
"32181","7623XA213","9H983005","SCOTT ANDERSON AGCY LLC","CNA","CONSULTANTS - MANAGEMENT","CBG32","CQV06","CQV06","80922"
"32182","7641X9213","9H983183","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32183","7648X0213","9H983299","RIVERSIDE BUSINESS INS","Other","APART PAC BLDG 1-4 UNITS","DKT56","DKT56","DKT56","84737"
"32184","7660X2213","9H983484","HANKOFF INS GROUP INC","State Farm","RESTAURANT OTHER ETHIC CUISINE","G6304","G6304","G6304","21117"
"32185","8117r5206","9H983539","THAMES-BATRE-MATTEI","Hartford","OFC PAC PHYS AND SURG & OSTEOP","EX928","EX928","EX928","36695"
"32186","7670X1213","9H983668","SEATTLE BEST INSURANCE","Liberty","RESTAURANT ORIENTAL TAKE-OUT","CYR67","CYR67","CYR67","98001"
"32187","7671X6213","9H983681","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32188","7679X2213","9H983933","ALTA VISTA INS AGCY","Allied","BUS PAC PRINTERS","92797","92797","92797","92084"
"32189","7682XA213","9H983994","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32190","7680X0213","9H984002","BLUE SKY INS AGCY INC","Other","APART PAC BLDG 5-12 UNITS","CHX57","WA801","WA801","90404"
"32191","7683X4213","9H984014","DEERFOOT INS AGENCY","Auto Owners","BLDG PAC OFC PRIMARY","CWX09","CWX09","CWX09","35173"
"32192","9405g7200","9H984063","SOGO WEALTH & RISK MGMT","Hartford","RESTAURANT ALL OTHER - FAMILY","CVY46","CVY46","CVY46","78204"
"32193","7694X8213","9H984211","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32194","7695X2213","9H984296","HUB INTL INS SERVICES","Liberty","RESTAURANT OTHER ETHIC CUISINE","TK093","X0041","X0041","81089"
"32195","7708X2213","9H98439A","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32196","7714X3213","9H984548","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32197","7729X5213","9H984770","HANCKEL CITIZENS INS","Liberty Mutual","BLDG PAC OFC PRIMARY","FM094","FM094","FM094","22903"
"32198","7751X6213","9H985127","SUMMIT INS ADVISORS","Hartford","BUS PAC DAY SPA","CMR35","CMR35","CMR35","85254"
"32199","7789xa213","9H985637","DENTISTS BENEFITS-WA","Other","OFC PAC DENTISTS","DLG68","DDG17","DDG17","98444"
"32200","7788X5213","9H985649","GALLAGHER\A J\RMS","Hartford","BLDG PAC OFC PRIMARY","HE277","HE277","HE277","48098"
"32201","7803X8213","9H985871","ABP INSURANCE AGENCY","State Farm","RESTAURANT ALL OTHER - FAST FO","PC967","PC967","PC967","20705"
"32204","7983X9213","9H988861","CLEARY INSURANCE INC","Other","CON PAC MASONRY","HG382","XW936","XW936","1906"
"32205","8082X7213","9H990149","GILLMAN INSURANCE INC","Hartford","SOFTWARE DEVELOP/PRGRM SVCS","CFF73","CFF73","CFF73","30005"
"32206","8092X6213","9H990186","WESTROCK INS AGENCY","Other","BLDG PAC MERCANTILE OTHER","RP828","CLR51","CLR51","10956"
"32207","8097X9213","9H990475","IDEAL INS AGENCY INC","Hanover","OFC PAC LAWYERS","CLM61","CLM61","CLM61","1056"
"32210","8122X0213","9H990739","GILLMAN INSURANCE INC","Hartford","FINANCIAL PLANNERS","CFF73","CFF73","CFF73","30005"
"32211","8140XA213","9H991134","MCLEAN INSURANCE AGENCY","Selective","COMPUTER CONSULTANTS","EJ330","XG266","XG266","22314"
"32213","8138X7213","9H991146","ONEGROUP NY INC","Liberty","BLDG PAC OFC PRIMARY","FA732","HF230","HF230","13202"
"32214","8180X6213","9H991411","USI INS SERVICES-NORFOLK","Hartford","BLDG PAC MFG PROCESSING","39272","SV204","SV204","23513"
"32217","6529V7133","9H991576","HEALY BROTHERS INSURANCE","Other","CON PAC HEATING-COMBINE HVAC","PP980","XA777","XA777","1005"
"32218","8229X0213","9H992167","BRITTANY INS NJ LLC","Hartford","RESTAURANT ALL OTHER - FAMILY","CTY48","CTY48","CTY48","8075"
"32219","8233x2213","9H992585","HUB INT'L GULF SOUTH","FCCI","BLDG PAC OFC PRIMARY","76749","HG963","HG963","39157"
"32220","5859M9213","9H992653","GALLEN INSURANCE INC","Erie","CONSULTANTS - ALL OTHER","GX225","GX225","GX225","19540"
"32222","8352x4213","9H994241","BRIGHTLEAF INS ASSOC INC","Other","STORE PAC CONVENIENCE STORE W","G4569","DKL17","DKL17","27577"
"32224","8395X4213","9H994879","RENASANT INSURANCE INC","Liberty","CON PAC CARPET/FLOOR INSTALLAT","HG859","BTD65","BTD65","39759"
"32226","8432X4213","9H995274","AGENTS INC","Hartford","STORE PAC PHOTOGRAPHY - PORTRA","CYX03","CYX03","CYX03","28311"
"32227","8454X1213","9H995483","SIMONIS & ASSOCS AGENCY","Auto Owners","STORE PAC CONVENIENCE STORE W","CMV93","CMV93","CMV93","30606"
"32228","8455x6213","9H995599","HARTSFIELD & NASH AGENCY INC","Cincinnati","APART PAC BLDG 13-24 UNITS","CGS54","BTM41","BTM41","27516"
"32229","8450X3213","9H995643","TIS INSURANCE SERV INC","Hanover","CONDO PAC BLDG 1-4 UNITS","F0716","F0716","F0716","28803"
"32230","8463X6213","9H995679","HALLASON GROUP LLC","Other","ART GALLERY OR DEALER","HU396","DBH64","DBH64","24901"
"32231","8428x2213","9H995723","REGIONS INSURANCE INC","Liberty","APART PAC BLDG 1-4 UNITS","73536","NK502","NK502","30309"
"32232","8457X5213","9H995981","MIKE MORAT INS SERVICE","CNA","BUS PAC BEAUTY SHOPS","RC119","CRD20","CRD20","38125"
"32233","8487X2213","9H996025","CC YOUNG INS AGCY INC","Penn National","OFC PAC CHIROPRACTORS","HE665","HE665","HE665","18508"
"32234","8528X0213","9H996363","HUB INTL NORTHWEST LLC","Liberty","BLDG PAC OFC PRIMARY","F0842","XV971","XV971","98112"
